Category,number_of_inc,Year
Equipment and vehicle use,1276,2007
Power generation/transmission/distribution,198,2007
Other causes,28,2007
Firearms and explosives use,68,2007
Debris and open burning,4245,2008
Arson/incendiarism,2282,2008
Recreation and ceremony,385,2008
Missing data/not specified/undetermined,3407,2008
Smoking,174,2008
Railroad operations and maintenance,150,2008
Fireworks,40,2008
Misuse of fire by a minor,129,2008
Equipment and vehicle use,1798,2008
Power generation/transmission/distribution,159,2008
Other causes,24,2008
Firearms and explosives use,17,2008
Debris and open burning,3863,2009
Arson/incendiarism,2501,2009
Recreation and ceremony,403,2009
Missing data/not specified/undetermined,2170,2009
Smoking,138,2009
Railroad operations and maintenance,390,2009
Fireworks,74,2009
Misuse of fire by a minor,142,2009
Equipment and vehicle use,1207,2009
Power generation/transmission/distribution,374,2009
Other causes,31,2009
Firearms and explosives use,15,2009
Debris and open burning,4090,2010
Arson/incendiarism,2702,2010
Recreation and ceremony,413,2010
Missing data/not specified/undetermined,2145,2010
Smoking,147,2010
Railroad operations and maintenance,121,2010
Fireworks,95,2010
Misuse of fire by a minor,104,2010
Equipment and vehicle use,1203,2010
Power generation/transmission/distribution,328,2010
Other causes,32,2010
Firearms and explosives use,48,2010
Debris and open burning,4319,2011
Arson/incendiarism,2779,2011
Recreation and ceremony,312,2011
Missing data/not specified/undetermined,3389,2011
Smoking,215,2011
Railroad operations and maintenance,132,2011
Fireworks,65,2011
Misuse of fire by a minor,183,2011
Equipment and vehicle use,1748,2011
Power generation/transmission/distribution,834,2011
Other causes,24,2011
Firearms and explosives use,81,2011
Debris and open burning,2978,2012
Arson/incendiarism,2444,2012
Recreation and ceremony,304,2012
Missing data/not specified/undetermined,2451,2012
Smoking,132,2012
Railroad operations and maintenance,101,2012
Fireworks,93,2012
Misuse of fire by a minor,113,2012
Equipment and vehicle use,1150,2012
Power generation/transmission/distribution,224,2012
Other causes,45,2012
Firearms and explosives use,109,2012
Debris and open burning,2706,2013
Arson/incendiarism,1605,2013
Recreation and ceremony,235,2013
Missing data/not specified/undetermined,1619,2013
Smoking,80,2013
Railroad operations and maintenance,58,2013
Fireworks,116,2013
Misuse of fire by a minor,93,2013
Equipment and vehicle use,699,2013
Power generation/transmission/distribution,173,2013
Other causes,28,2013
Firearms and explosives use,38,2013
Debris and open burning,4065,2014
Arson/incendiarism,1649,2014
Recreation and ceremony,729,2014
Missing data/not specified/undetermined,2177,2014
Smoking,84,2014
Railroad operations and maintenance,77,2014
Fireworks,50,2014
Misuse of fire by a minor,91,2014
Equipment and vehicle use,732,2014
Power generation/transmission/distribution,267,2014
Other causes,48,2014
Firearms and explosives use,30,2014
Debris and open burning,3766,2015
Arson/incendiarism,1404,2015
Recreation and ceremony,463,2015
Missing data/not specified/undetermined,2476,2015
Smoking,182,2015
Railroad operations and maintenance,73,2015
Fireworks,62,2015
Misuse of fire by a minor,99,2015
Equipment and vehicle use,1033,2015
Power generation/transmission/distribution,329,2015
Other causes,56,2015
Firearms and explosives use,22,2015
Debris and open burning,3692,2016
Arson/incendiarism,2693,2016
Recreation and ceremony,419,2016
Missing data/not specified/undetermined,2843,2016
Smoking,201,2016
Railroad operations and maintenance,78,2016
Fireworks,52,2016
Misuse of fire by a minor,120,2016
Equipment and vehicle use,1109,2016
Power generation/transmission/distribution,359,2016
Other causes,47,2016
Firearms and explosives use,46,2016
Debris and open burning,3712,2017
Arson/incendiarism,2131,2017
Recreation and ceremony,211,2017
Missing data/not specified/undetermined,2742,2017
Smoking,130,2017
Railroad operations and maintenance,73,2017
Fireworks,64,2017
Misuse of fire by a minor,74,2017
Equipment and vehicle use,1242,2017
Power generation/transmission/distribution,384,2017
Other causes,46,2017
Firearms and explosives use,44,2017
Debris and open burning,3177,2018
Arson/incendiarism,1274,2018
Recreation and ceremony,206,2018
Missing data/not specified/undetermined,2250,2018
Smoking,100,2018
Railroad operations and maintenance,85,2018
Fireworks,35,2018
Misuse of fire by a minor,59,2018
Equipment and vehicle use,1152,2018
Power generation/transmission/distribution,435,2018
Other causes,41,2018
Firearms and explosives use,75,2018
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
